block_height,elapsed_time
1042,172.15325ms
1043,11.600978295s
1044,12.686718674s
1045,4.170578551s
1046,2.52756014s
1047,5.533105453s
1048,11.423186992s
1049,6.751991504s
1050,4.057075928s
1051,2.571398771s
1052,8.033867656s
1053,16.762763849s
1054,10.034447075s
1055,5.260470569s
1056,3.780189749s
1057,3.400270841s
1058,30.546630462s
1059,3.613189655s
1060,4.287685095s
1061,19.631082509s
1062,563.403045ms
1063,13.939549967s
1064,1m2.666911583s
1065,32.96428889s
1066,2.869289459s
1067,21.853483427s
1068,3.057000047s
1069,470.886492ms
1070,4.359505715s
1071,11.090388671s
1072,4.947272799s
1073,33.232341ms
1074,6.120683165s
1075,4.668587551s
1076,25.145083241s
1077,3.733103807s
1078,20.016901163s
1079,8.607234006s
1080,48.456734381s
1081,3.97739093s
1082,1.124118696s
1083,25.252427589s
1084,909.676467ms
1085,977.993258ms
1086,3.461660955s
1087,218.024438ms
1088,28.567636101s
1089,29.849678915s
1090,10.43551383s
1091,3.430225559s
1092,23.593509288s
1093,1.401999088s
1094,7.706025637s
1095,28.658084523s
1096,2.475453301s
1097,2.990577037s
1098,2.244623161s
1099,19.78432358s
1100,25.565992472s
1101,2.29665216s
1102,14.557240564s
1103,7.281618999s
1104,10.902588083s
1105,4.831895437s
1106,3.469058769s
1107,5.83322882s
1108,6.959570115s
1109,6.594219548s
1110,1.320793146s
1111,12.589645127s
1112,10.189793855s
1113,33.350574477s
1114,1.785950988s
1115,14.3709461s
1116,1.691552889s
1117,1.432813351s
1118,7.684254889s
1119,59.053774895s
1120,529.353433ms
1121,51.131313836s
1122,5.256751392s
1123,12.072946721s
1124,11.045732015s
1125,25.658487794s
1126,14.66029842s
1127,49.181802744s
1128,1.508938293s
1129,8.70187357s
1130,1.563221787s
1131,20.089461504s
1132,5.232808806s
1133,4.103030407s
1134,867.93455ms
1135,5.974323163s
1136,43.992707423s
1137,13.849867572s
1138,1m7.888923689s
1139,6.924615916s
1140,1.860184629s
1141,10.479731095s
1142,24.085008949s
1143,14.937007209s
1144,33.144629845s
1145,17.80103411s
1146,2.028693398s
1147,772.478029ms
1148,9.675739587s
1149,17.337002999s
1150,2.74430562s
1151,777.659111ms
1152,14.916309587s
1153,34.446201831s
1154,34.592348718s
1155,1m19.399359518s
1156,1.773750034s
1157,20.173401849s
1158,4.990129363s
1159,17.393954351s
1160,952.938126ms
1161,3.910303764s
1162,10.940062719s
1163,21.723430139s
1164,13.413880114s
1165,15.564490326s
1166,6.167832438s
1167,744.702886ms
1168,11.914087922s
1169,12.138696262s
1170,11.347481454s
